id,question,question_concept,choices,answerKey
57f92025d860e32c4e780c0d51c1c20c,What would vinyl be an odd thing to replace?,vinyl,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['pants', 'record albums', 'record store', 'cheese', 'wallpaper'],
      dtype=object)}",E
81eb4b2ee66edd8bc91ee944697c4e9f,"If you want harmony, what is something you should try to do with the world?",something you,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['take time', 'make noise', 'make war', 'make peace', 'make haste'],
      dtype=object)}",D
d807e7ae60976324920c8d29eb42dad6,Where does a heifer's master live?,heifer,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['farm house', 'barnyard', 'stockyard', 'slaughter house',
       'eat cake'], dtype=object)}",A
7ea9f721ffc662918bb0c0937a487f04,Aside from water and nourishment what does your dog need?,dog,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bone', 'charm', 'petted', 'lots of attention', 'walked'],
      dtype=object)}",D
fc1d33a2301a30214523c12573f81aba,Janet was watching the film because she liked what?,watching film,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['erection', 'laughter', 'being entertained', 'fear', 'bordem'],
      dtype=object)}",C
3b8e1d236f5169b6c833a994d6d9c39a,What are you waiting alongside with when you're in a reception area?,reception area,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['motel', 'chair', 'hospital', 'people', 'hotels'], dtype=object)}",D
c5c4166f2ed3c2b3517b79e6848e9ae2,When drinking booze what can you do to stay busy?,booze,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['reach tentative agreement', 'stay in bed', 'stop bicycle',
       'examine thing', 'suicide'], dtype=object)}",D
6dc5b2884737e66543ce65f8dc40c992,A fencing thrust with a sharp sword towards a person would result in what?,fencing,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['injury', 'small cuts', 'fever', 'competition', 'puncture wound'],
      dtype=object)}",E
8af63d58cc35061dec38e5448c325988,"Unlike a spider and his many sight seers, people only have what?",people,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['tongues', 'names', 'brains', 'feelings', 'two eyes'], dtype=object)}",E
768fb09deab56046e1565b6a2556ad5c,Where do adults use glue sticks?,glue stick,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['classroom', 'desk drawer', 'at school', 'office',
       'kitchen drawer'], dtype=object)}",D
cd639cf3ff82f825ace7dd2b087562bd,What could go on top of wood?,wood,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['lumberyard', 'synagogue', 'floor', 'carpet', 'hardware store'],
      dtype=object)}",D
8d79cc5e4eea11f50fab18fdea20fd4f,"The artist was sitting quietly pondering, then suddenly he began to paint when what struck him?",sitting quietly,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sadness', 'anxiety', 'inspiration', 'discomfort', 'insights'],
      dtype=object)}",C
e5ad2184e37ae88b2bf46bf6bc0ed2f4,"Though the thin film seemed fragile, for it's intended purpose it was actually nearly what?",fragile,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['indestructible', 'durable', 'undestroyable', 'indestructible',
       'unbreakable'], dtype=object)}",D
b8b287b6277fccd4b7c9c72577177328,Where could you find a toilet that only friends can use?,toilet,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['rest area', 'school', 'stadium', 'apartment', 'hospital'],
      dtype=object)}",D
f646f3e064f06423fc25b98500796cf0,"What is someone who isn't clever, bright, or competent called?",clever,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['clumsy', 'ineffectual', 'dull', 'clumsy', 'stupid'], dtype=object)}",E
b0f7d7978ac41c465108a92660d70e84,When wildlife reproduce we often refer to what comes out as what?,reproduce,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['raise children', 'have children', 'photo copy', 'offspring',
       'accidently got pregnant somehow'], dtype=object)}",D
54075de8b8b89ecef2e4eb4eaee2713d,"The weasel was becoming a problem, it kept getting into the chicken eggs kept in the what?",weasel,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['forrest', 'barn', 'public office', 'out of doors', 'freezer'],
      dtype=object)}",B
65435b996ce9d1685bebb74b49c1ba7f,Blue read material outside of his comfort zone because he wanted to gain what?,reading,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['new perspective', 'entertained', 'understanding', 'hunger',
       'tired eyes'], dtype=object)}",A
9889e5389917d812c09d6e5d382d333d,After he got hired he hoped for success at his what?,success,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['vocation', 'new job', 'michigan', 'working hard', 'manual'],
      dtype=object)}",B
a651ffa44ac5febf0aede6748899b981,Committing perjury is a serious what?,committing perjury,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['indictment', 'crime', 'violence', 'lie', 'go to jail'],
      dtype=object)}",B
bdcfbe2132295d437e4c5701085f19c0,If you are prone to postpone work what will you have to do in order to finish on time?,postpone,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['eat', 'hasten', 'antedate', 'bring forward', 'advance'],
      dtype=object)}",B
8d3dc21a53523850ec80771daaa5ff20,James wanted to find an old underground map from the 50s.  Where might he look for one?,underground map,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['library', 'subway station', ""county engineer's office"",
       'super market', 'home'], dtype=object)}",A
a80ee7775e934c423012fe98e20ba28b,"Sean was in a rush to get home, but the light turned yellow and he was forced to do what?",rush,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['take time', 'dawdle', 'go slowly', 'ocean', 'slow down'],
      dtype=object)}",E
48a315cfa3ce11f7a9d615bc854331d5,Where would a person be doing when having to wait their turn?,wait turn,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['have patience', 'get in line', 'sing', 'stand in line',
       'turn left'], dtype=object)}",D
4acd496cc78d96c2431279a5fd87de7c,"She was always helping at the senior center, it brought her what?",helping,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['satisfaction', 'heart', 'feel better', 'pay', 'happiness'],
      dtype=object)}",E
91e0f4ab62c9d2fd440d73a3f5308d96,"The lock kept the steering wheel from moving, but the thief still took his chances and began to work on the what?",lock,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['keep cloesd', 'train', 'ignition switch', 'drawer', 'firearm'],
      dtype=object)}",C
b61e849e44db16a581f0b65e28ab95dc,Who is a police officer likely to work for?,police officer,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['beat', 'direct traffic', 'city', 'street', 'president'],
      dtype=object)}",C
ba6bd1bdef02d0ebfe5370f92365ae18,"If you have leftover cake, where would you put it?",cake,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['quandry', 'refrigerator', 'oven', 'night stand', 'bakery'],
      dtype=object)}",B
dc55d473c22b04877b11d584f9548194,"A human wants to submerge himself in water, what should he use?",water,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['whirlpool bath', 'coffee cup', 'cup', 'soft drink', 'puddle'],
      dtype=object)}",A
113aaea2b1a27a976547f54e531d99bb,Where is a doormat likely to be in front of?,doormat,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['facade', 'front door', 'doorway', 'entrance porch', 'hallway'],
      dtype=object)}",B
ba640b9634ad6b4ad98b17b4f152e562,Bob the lizard lives in a warm place with lots of water.  Where does he probably live?,lizard,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['rock', 'tropical rainforest', 'jazz club', 'new mexico',
       'rocky places'], dtype=object)}",B
750ebdf36a0b3b407be0fe2163e3700b,August needed  money because he was afraid that he'd be kicked out of his house.  What did he need money to do?,money,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['control people', 'pay bills', 'hurt people', 'buy food',
       'get things'], dtype=object)}",B
8f01273422a370a8dbda6bf473a395a0,"He needed more information to fix it, so he consulted the what?",information,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['chickens', 'google', 'newspaper', 'online', 'manual'],
      dtype=object)}",E
e6586bba9fe96d38792e6e6d4f2703dc,Where can you put a picture frame when it's not hung vertically?,picture,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['art show', 'wall', 'newspaper', 'car', 'table'], dtype=object)}",E
6e433471d0e2590b8c73ceef275022b1,James knew that he shouldn't have been buying beer for minors.  He didn't even get paid for it.  Why was this bad?,buying beer,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['lose money', 'fun', 'have no money', 'broken law', 'relaxation'],
      dtype=object)}",D
1bc986f8aea88d6927d8a45367855a94,What is the result of applying for  job?,applying for job,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['anxiety and fear', 'increased workload', 'praise', 'less sleep',
       'being employed'], dtype=object)}",E
8d1563697d751a364d688d6701ebdb39,What must someone do before they shop?,shop,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['get money', 'have money', 'bring cash', 'go to market',
       'bring cash'], dtype=object)}",A
91f512273a2da7ae796919069b20d6cf,"Because John was first violin, he had to bring something important to work ever day. What did he need to bring to work?",first violin,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['music store', 'obesity', 'symphony orchestra', 'ochestra',
       'violin case'], dtype=object)}",E
49cda7eedbf63b3f38e59ba72f1ee1f9,What is a place that usually does not have an elevator and that sometimes has a telephone book?,telephone book,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['at hotel', 'kitchen', 'library', 'telephone booth', 'house'],
      dtype=object)}",E
a588407ecaecf0f30c2241c30b470fe2,Who is likely to be excited about a crab?,crab,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['fish market', 'pet shop', 'fishmongers', 'intertidal zone',
       'obesity'], dtype=object)}",C
011096bcfff30fd38046cf9db3a411c5,Where can a human find clothes that aren't pants?,human,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['pants shop', 'on planet earth', 'dress shop', 'school',
       'train wreck'], dtype=object)}",C
435a728f45d32faa4b3c4553c966fd6b,"If I was getting drunk, and people couldn't understand me, what might I be having?",getting drunk,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['a seizure', 'slurred speech', 'death', 'forgetfulness',
       'pass out'], dtype=object)}",B
e953dee48c70159ad879143a319ec607,"When a person is beginning work, what are they building?",beginning work,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['time', 'accomplishing', 'working', 'momentum', 'tiredness'],
      dtype=object)}",D
9c784727afd7176b54764055df7a7927,"A child wants to play, what would they likely want?",child,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['fall down', 'breathe', 'play tag', 'be dismembered by a chainsaw',
       'become adult'], dtype=object)}",C
b47d912136e3304cb5e5890b6b879551,Talking to the same person about the same thing over and over again is something someone can what?,talking to,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['social life', 'friendship', 'eye contact', 'get tired of',
       'learn lessons from'], dtype=object)}",D
49b4c9e1bd7946a819e173ce8fa4c7c9,The teacher doesn't tolerate noise during a test in their what?,noise,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['movie theatre', 'bowling alley', 'factory', 'store', 'classroom'],
      dtype=object)}",E
950af0b765c298960ce3dada66df8db1,"The freeway had no traffic and few buildings, where is it?",freeway,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['california', 'countryside', 'big town', 'florida', 'america'],
      dtype=object)}",B
63cf1adb5fe302b9867ead8bc8103d0b,Where would you go if you wanted to have fun with a few people?,fun,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['watching television', 'good', 'cinema', ""friend's house"",
       'fairgrounds'], dtype=object)}",D
ede4d302fc2ffe07703158f83c1493f2,"If there is a place that is hot and arid, what could it be?",hot,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bland', 'lifeless', 'sandy', 'neutral', 'freezing'], dtype=object)}",B
74ad13a03634e79c85382f1b90969b74,What is likely to satisfy someone's curiosity?,curiosity,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['hear news', 'read book', 'see favorite show', 'comedy show',
       'go somewhere'], dtype=object)}",A
49e466b1782aa4837dae53ff891fcdee,If you are in a bar in a glove shaped state where are you?,bar,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['in my pocket', 'michigan', 'new york city', 'restaurant',
       'public house'], dtype=object)}",B
a8a8ae7792901c7179ff5538c701af1f,Where would a computer user be using their own computer?,computer user,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['hell', 'school', 'indoors', 'internet cafe', 'house'],
      dtype=object)}",E
2ffa3808ce26181926990b454e429c85,Crabs live in what sort of environment?,crab,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['maritime', 'bodies of water', 'saltwater', 'galapagos',
       'fish market'], dtype=object)}",C
4319eaa36d256a92b72445c0392f9c94,Where can you find a snake in tall grass?,snake,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['tree', 'in a jar', 'pet shops', 'feild', 'tropical forest'],
      dtype=object)}",D
ec79ef747bb89281923edb89ba26786d,What is a place that has a bench nestled in trees?,bench,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['state park', 'bus stop', 'bus depot', 'statue', 'train station'],
      dtype=object)}",A
2d33cde5e3987adc8fa2bca0af4dd3dd,Where is a human likely to go as a result of being hungry?,being hungry,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['eat in restaurant', 'make bread', 'have lunch', 'cook dinner',
       'friends house'], dtype=object)}",A
cc46d936bf69d69a3863b0cb85d75c17,He was beginning to regret taking the fight when he saw how what his opponent was?,regret,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['fun', 'joy', 'satisfaction', 'confident', 'pride'], dtype=object)}",D
46bc1a50eeead10509a43a048e01194e,Where would you find a single shower curtain being used?,shower curtain,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bathtub', 'washing area', 'hotel', 'shower stall',
       'department store'], dtype=object)}",A
4336a8c55b7cb17275d1c60206cd2f18,Where is a good idea but not required to have a fire extinguisher?,fire extinguisher,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['school bus', 'boat', 'house', 'hospital', 'school'], dtype=object)}",C
a287575d3ba4b9f958536fc14a1f5b5a,What continent has the most castles?,castle,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['fairy tale', 'edinburgh', 'germany', 'europe', 'antarctica'],
      dtype=object)}",D
f481dc35b0a97a20dc5cdfe1a59746e2,If you have to read a book that is very dry and long you may become what?,read book,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['have time', 'boring', 'learn new', 'enjoyable', 'bored'],
      dtype=object)}",E
c1c7a9efa379b8a7024a71cf364a144c,Sally used a clipboard to hold her papers while she read off names at the beginning of the day.  Where might she work?,clipboard,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['desk', 'windows 95', 'office supply store', 'see work', 'school'],
      dtype=object)}",E
821b32d39f57396979069b948030afe9,The kids didn't clean up after they had done what?,kids,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['learn things', 'play games', 'disneyland', 'play with toys',
       'talking'], dtype=object)}",D
c68b4082a6872cf8198502651d0f3352,"Despite the name a pawn can be quite versatile, all the parts are important in a what?",pawn,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['chess game', 'scheme', 'chess set', 'checkers', 'north carolina'],
      dtype=object)}",A
dd11fea36d89aa09f9a6069545ba4c9c,What would not be true about a basketball if it had a hole in it but it did not lose its general shape?,basketball,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['punctured', 'popular in america', 'full of air', 'gone', 'round'],
      dtype=object)}",C
7792b2c6518ecf9775efba6d41253312,"If you are awaking multiple times throughout the night because a lot is on your mind, what is a likely cause?",awaking,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['irritability', 'depression', 'getting out of bed', 'happiness',
       'discomfort'], dtype=object)}",B
1feb4c2a0e8ed638259f5d27b16eae9a,Where does a wild bird usually live?,bird,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cage', 'sky', 'countryside', 'desert', 'windowsill'], dtype=object)}",C
2de08c7a518b7c226e19bdc8fc10ef1d,Where would you expect to find white mice?,mice,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bell cat', 'bush', 'attic', 'countryside', 'laboratory'],
      dtype=object)}",E
ea8664e77205224154f8519f922220e1,John felt that his actions were fate.   Harry said that he could have always made a different what?,fate,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['free will', 'choice', 'will', 'alcohol', 'freedom'], dtype=object)}",B
a64d45cecde84fdcf5f0a79805a0c6fe,What could committing murder prevent someone from doing?,committing murder,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['go to jail', 'cry', 'find god', 'guilty conscience', 'problems'],
      dtype=object)}",C
60e92cd2f35c345872d1a898e1718d55,"George didn't have a car, but he still had his two feet.   His socks were smelly and his soles were blistered, but that didn't matter.  He could still do what?",feet,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['michigan', 'walk', 'stay still', 'stink', 'hands'], dtype=object)}",B
08f3c187908646997b9080c7e9ea7da4,A crane uses many a steel cable when working a what?,steel cable,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['abaft', 'ship', 'winch', 'construction site', 'building'],
      dtype=object)}",D
9aff72f0c480c2b4edde45bd2e7e4870,What is the main purpose of farmers?,farmers,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['raise cattle', 'grow corn', 'farm land', 'drive tractors',
       'supply food'], dtype=object)}",E
fd243c96edec5b1b8520d5bfeddc6622,Where can I put this penny to save for later?,penny,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['piggy bank', 'wallet', 'toy', 'ground', 'pocket'], dtype=object)}",A
f5ec4fdfd0e37e733bfc1606b986f1e2,Where would you put uncooked crab meat?,crab,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['wharf', 'red lobster', 'tidepools', ""boss's office"", 'stew pot'],
      dtype=object)}",E
e3c6d147f8a727d314046e70e9579ba0,"The man had a fear of illness, so he never visited friends who were a what?",illness,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sick person', 'hospital', 'elderly person', 'graveyard',
       ""doctor's office""], dtype=object)}",A
8ce13c6e08bf38d4cd4af756b661e47c,Where would you put pans if you want to bring them with you?,pans,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cooking', 'cook food', 'kitchen', 'backpack', 'drawer'],
      dtype=object)}",D
0f4159e80f8dbf682819215bbf0f5b5a_1,"If you're remembering something, it's because of your what of it to begin with?",remembering,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['knowledge', 'knowing', 'forgetful', 'pleasure', 'depression'],
      dtype=object)}",B
1a8b3c2a46efabcbd506f9cf70886ed0,Which large land mass is home to the most monkeys?,monkey,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['amazon basin', ""friend's house"", 'lift number 3',
       'research laboratory', 'african continent'], dtype=object)}",E
db0cfd52ca6b2bbfcf26d1a898fd929b,Friday was James's 5th Anniversary.  They planned on going to bed early so that they could spend a long time doing what?,going to bed,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['rest', 'insomnia', 'making love', 'sleeping in', 'texting'],
      dtype=object)}",C
400fb2e196e71abb70e5b3f9aab4b9ee,"The teens were trying to hide that they get drink, but when they walked in the door their what gave it away?",get drunk,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['health', 'fall down', 'stagger', 'get arrested', 'vomit'],
      dtype=object)}",C
3fb36127a61903029a363911a1d2b1e9_1,You'll find a landing at the top of what?,landing,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['ocean', 'apartment building', 'stairwell', 'airport', 'room'],
      dtype=object)}",C
8494b0b95533dcedbd76ae2916c481d4,"Anybody could be hired in the kitchen, what was needed of them?",anybody,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['forget', 'oil squeaky hinge', 'question authority', 'wash dishes',
       'oik squeaky hinge'], dtype=object)}",D
1531f1523f5fd24bbdb42c311dbf90e8,Where can you find a number of wind instruments together in public?,wind instrument,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['music store', 'create music', 'zoo', 'music room', 'symphony'],
      dtype=object)}",E
716ce4404a84b42dd64e561390c4b53b,A mountie got off at a subway stop.  What city might he be in?,subway stop,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['urban area', 'metropolis', 'chicago', 'new york city', 'toronto'],
      dtype=object)}",E
5169f7ae0781b15161551de3a189ebef,What do you want someone to do when you illustrate point?,illustrate point,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['did not understand', 'accepting', 'make clear', 'understood',
       'understanding'], dtype=object)}",E
ef22ef7aeec70aaa688720f805c1cf38,Billy set aside a block of time for having fun after work. Why might he do this?,having fun,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['happiness', 'stress relief', 'pleasure', 'ocean', 'may laugh'],
      dtype=object)}",B
514310637fb43a252bfadc8cbf79b277,"The man in the white suit was very lazy.  He did nothing useful.  Meanwhile, the ban in the blue had put in effort and was very what?",lazy,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['restless', 'active', 'lazybutt', 'productive', 'hard work'],
      dtype=object)}",D
9370b2b0897b796dec4a40f107854c8d,What would you be unable to do if you have too much greed?,greed,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['keep things', 'make friends', 'play poker', 'conquer opponent',
       'lie'], dtype=object)}",B
49902e768c45aa41a0f9f95be81114e5,"It was a long trip from the farm, so he stayed in a hotel when he arrived at the what?",hotel,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bed away from home', 'wwii bunker', 'resort', 'las vegas', 'city'],
      dtype=object)}",E
e1f90cd664a6b150291e6d8444d85c54,I did not need a servant.  I was not a what?,servant,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['freedom', 'rich person', 'hired help', 'in charge', 'busy'],
      dtype=object)}",B
320ec9b68fdefe13d59cc8b628083790,How would you get from one side of a canal to another?,canal,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['michigan', 'amsterdam', 'venice', 'bridge', 'barges to travel on'],
      dtype=object)}",D
964185aed0e381853332bca1a4d91f46,"When learning about the world and different cultures, what is important if you are committed to eliminating preconceived notions",learning about world,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['newness', 'loss of innocence', 'enlightenment', 'open mind',
       'smartness'], dtype=object)}",D
db8e010754c532d78635e5b7cf81a147,"An underrated thing about computers is how they manage workflow, at one time it was a big deal when they could first do what?",computers,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['share files', 'do arithmetic', 'turn on', 'cost money',
       'multitask'], dtype=object)}",E
998381f854f51da2a6ccde45909e5168,Obstructing justice is sometimes an excuse used for police brutality which causes what in people?,obstructing justice,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['committing perjury', 'prosecution', 'attack', 'getting hurt',
       'riot'], dtype=object)}",D
bc38ad28e99cff7a65771233f734a007,While washing clothes they became what when caught on the sharp object?,washing clothes,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['damaged', 'wet clothes', 'wear out', 'torn', 'have fun'],
      dtype=object)}",D
e3949997bf9d02048cfa5d8dd0f287aa,Seafood restaurants are used to draw tourists where?,seafood restaurant,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['maine', 'shoe shop', 'city', 'boston', 'coastal cities'],
      dtype=object)}",E
