id,question_stem,choices,answerKey
9-271,what system is needed for a body to get its needed supply of the gas humans breathe in?,"{'text': array(['the circulatory system', 'the digestive system',
       'the school system', 'central nervous system'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
9-409,Every evening a child can look into the night sky and see that the moon is,"{'text': array(['gone', 'breaking', 'falling', 'moving upwards'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
530,"When it's flying, a plane has no friction with the","{'text': array(['wings', 'ground', 'air', 'clouds'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
1426,To grow plants require,"{'text': array(['acid rain', 'pesticides', 'shafts of sunlight', 'moonbeam rays'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
8-466,What is the best way to guess a babies eye color?,"{'text': array(['The surroundings they are born in.', 'Their parents usual diet.',
       'Just take a random guess.',
       'The genealogy records of their family.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
1577,What animal eats plants?,"{'text': array(['eagles', 'robins', 'owls', 'leopards'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
8-257,Which of these is a hypothesis?,"{'text': array(['The ice caps will completely melt if global warming continues',
       'The earth is round', 'The earth revolves around the sun',
       'Gravity causes objects to fall'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
378,What explains the characteristic lunar formations?,"{'text': array(['remains of ancient ponds', 'many collisions that have occured',
       'volcanic explosions over millions of years',
       'sink holes due to the moons porous nature'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
8-41,Tadpoles start their lives as,"{'text': array(['Water animals', 'Frogs', 'Ants', 'College Students'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
9-540,"If a person puts out four apples around their home on the same day, the molecules in which apple would be moving the most rapidly?","{'text': array(['the apple sitting on a sunny sidewalk',
       'the apple in the freezer',
       'the apple sitting on the shaded stoop', 'the apple in a closet'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
266,What is used for sensing visual things?,"{'text': array(['nerves', 'tibia', 'nostril', 'cornea'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
1309,They studied the soil by using,"{'text': array(['plants', 'a telescope', 'roots', 'a microscope'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
7-1197,Bill's arm got cold when he put it inside the,"{'text': array(['refrigerator', 'room', 'jacket', 'oven'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
7-891,A recyclable material can be,"{'text': array(['transformed', 'traded', 'thrown away', 'used more times'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
1180,What is different about birth in humans and chickens?,"{'text': array(['Mother', 'Fertilization', 'Father', 'the hard shell'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
1204,Which of these situations is an example of pollutants?,"{'text': array(['plastic bags floating in the ocean',
       'mallard ducks floating on a lake',
       'cottonwood seeds floating in the air',
       'cirrus clouds floating in the sky'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
7-52,Human reproduction requires,"{'text': array(['eggs with shells', 'nest incubation', 'a nest', 'a womb'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
1759,Thermometers,"{'text': array(['can help you monitor a fever',
       'indicate levels of mercury in the blood',
       'read exactly at 98.6 degrees', 'are used only for babies'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
9-655,"if the earth was a living room, what can be done to melt the glaciers?","{'text': array(['someone would turn up the room heater',
       'someone would turn up the air conditioner',
       'someone would turn up the music',
       'someone would turn on the light'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
132,What would happen when balloons heat up?,"{'text': array(['they get bigger', 'they get smaller', 'nothing happens',
       'they fall down'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
8-79,"A balloon is filled with helium for a party. After the party, the balloons are left in the living room, where a fireplace is heating the room. The balloons","{'text': array(['expand', 'melt', 'shrink', 'fall'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
1835,Seals are most likely to be found in what type of environment?,"{'text': array(['desert', 'arctic', 'Mediterranean', 'tropical'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
9-149,"When the eggs hatch, the offspring are","{'text': array(['killed', 'hurt', 'born', 'cold'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
695,Some berries may be eaten by,"{'text': array(['a bear or person', 'a bear or shark', 'a bear or lion',
       'a bear or wolf'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
8-179,A person has a chance to experience an equinox,"{'text': array(['weekly', 'monthly', 'annually', 'biannually'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
7-50,Overpopulation of an organism can,"{'text': array(['strain the resources of an ecosystem',
       'cause boundless growth of resources',
       'lead to extinction of the organism',
       'cause the ecosystem to flourish'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
508,"To improve health, what is a good strategy?","{'text': array(['high risk lifestyle', 'restaurant food', 'business trip',
       'a spa trip'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
1674,A girl and her mom have the same,"{'text': array(['date of birth', 'shirt', 'number of toenails', 'hair length'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
163,The transportation with the most mass is likely a,"{'text': array(['commercial plane', 'private plane', 'bus', 'private car'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
7-49,A rabbit may enjoy,"{'text': array(['meat', 'compost', 'peas', 'pebbles'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
8-393,"A construction group wants to put a shopping center in town, but the only place available is a small nature park with a trail. Deer and other wildlife frequent the park, since it is the only place in the city where trees and fresh water are available for them. The construction group decides to build the shopping center, which means that","{'text': array(['the deer are moved to a zoo', 'the trail is expanded',
       'the mall has a nature park in it',
       'the wildlife environment is destroyed'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
788,Owls are likely to hunt at,"{'text': array(['3pm', '2am', '6pm', '7am'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
9-29,What could be a positive aspect of a tree being cut down?,"{'text': array(['the plants that were under the tree will have access to more light',
       'the squirrels that were in that tree will have an easier time getting to their home',
       'Plants under the tree will get cooled off by the shade',
       'The sun will shine brighter than before'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
9-368,Birds carrying away fruit helps the tree,"{'text': array(['grow', 'fertilize', 'reproduce', 'conquer'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
7-671,"If a UFO is flying overhead and looks small, then large, then","{'text': array(['the UFO is calling', 'the UFO had been close',
       'the UFO is approaching', 'the UFO is leaving'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
1272,Inherited behavior is exhibited when,"{'text': array(['bears take a long winter sleep', 'dogs sit on command',
       'seals clap for their trainers', 'rats navigate thru a maze'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
648,What likely explains deforestation?,"{'text': array(['Increased insect populations', 'Clearing for farming',
       'reduction in rainfall', 'More carbon dioxide'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
9-1180,Mosquitoes enjoy all the people at a BBQ in the summer for what reason?,"{'text': array(['steak', 'blood', 'nice weather', 'taking food'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
9-227,The surface of the moon contains,"{'text': array(['dogs', 'water', 'high peaks', 'humans'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
1582,A tool used to identify the percent chance of a trait being passed down has at least,"{'text': array(['four boxes', 'eight boxes', 'two boxes', 'six boxes'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
8-125,"A prisoner is kept in a stone room, unable to see the sun. The prisoner knows that he needs vitamin D to survive, so he","{'text': array(['asks for milk', 'asks for television', 'asks for water',
       'asks for sleep'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
1923,When trying to pull a rose out of the ground why do you encounter resistance?,"{'text': array(['roots', 'tensile strength', 'plant temperature', 'plant color'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
9-229,A bat flew through the sky without hitting anything due to which of these?,"{'text': array(['rainy sky to fly in', 'fast truck to drive',
       'a car with gasoline', 'surfaces to reflect sound off'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
1702,How can we see that the coloration of fur is an inherited characteristic?,"{'text': array(['puppies have soft fur', 'kittens look like their parents',
       'all mammals are born with fur', 'baby rats are mostly bald'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
8-260,Decaying vegetation is part of the process that,"{'text': array(['enables nuclear power to function',
       'enables to emitting of light beams',
       'enables gas powered motors to operate',
       'enables windmills to power electric grids'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
9-491,"After a torrential downpour over a week, a man notices that the pond in his backyard is","{'text': array(['melted', 'dehydrated', 'bloated', 'salted'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
75,The amount of friction and the speed of an object have what kind of relationship?,"{'text': array(['inverse', 'reverse', 'direct', 'equal'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
1215,A fallen leaf,"{'text': array(['will turn into a tree', 'will become bright green',
       'will begin to recycle the nutrients that made up its structure',
       'is likely to continue to grow'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
8-93,Over a period of time the weather can change,"{'text': array(['The color of my hair', 'The way I walk', 'The size of a statue',
       'The sound a computer makes'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
7-988,Plant growth may cause,"{'text': array(['an uptick in the number of leaves', 'a surge in leaf disease',
       'a gradual decrease in leaves', 'a rapid decline of the leaves'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
9-1139,The man's heart skipped a beat and he felt pain after touching which of these?,"{'text': array(['ice cube', 'water', 'electrical transformer', 'grass'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
1545,Which substance is capable of dripping?,"{'text': array(['Oxygen', 'Juice', 'Wood', 'Lightning'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
7-664,If bacon is left too long on a hot stove top,"{'text': array(['it will be cooked perfectly', 'it will be bacteria laden',
       'it will become blackened', 'it will be left raw'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
8-53,the dashboard reading in a jaguar would likely be set to which of these?,"{'text': array(['set to calories', 'set to volume', 'set to kilometers',
       'set to width'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
7-1044,are explosions safe?,"{'text': array(['they could harm living things', 'they are very safe',
       'they cause nothing serious', 'none of these'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
7-1122,The lowest temperature on the trip was at,"{'text': array(['the mountain pass', 'the plain', 'the large hill', 'the canyon'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
9-79,What is the benefit to using a frosted window film over a non treated windows?,"{'text': array(['they are easier to make', 'they let in less light',
       'they are cheaper to produce', 'they are much stronger'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
7-157,Ocean water contains,"{'text': array(['copious amounts of seltzer', 'scant amounts of sodium chloride',
       'scant amounts of carbonation',
       'copious amounts of the combination of Na and Cl'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
9-1164,A cheetah that runs all day will find it has lost a lot of,"{'text': array(['blood', 'water', 'prey', 'spots'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
8-63,Beak shape can influence a bird's ability,"{'text': array(['to give birth to live young', ""to mate with it's partner"",
       'to fly to warmer climates', 'to chew up certain worms'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
8-308,Some blind people have demonstrated bat-like skills by:,"{'text': array(['sensing shapes by light and shadows',
       'having a unusually strong sense of smell',
       'sensing nearby objects by temperature change',
       ""using sound to 'see'""], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
326,December 21st through March 20 is a three month period which is an example of what?,"{'text': array(['A session', 'A Match', 'A Season', 'Autumn'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
1184,Seeds provide new plants with,"{'text': array(['life sustaining elements', 'essentials for photosynthesis',
       'water and hydrogen', 'storage for roots'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
359,What is a more comfortable color to have for your automobile upholstery if living in a desert?,"{'text': array(['ecru', 'red', 'black', 'navy'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
9-350,The salamander could eat a large amounts of what?,"{'text': array(['fettuccine if left around', 'waxy leaves from certain plants',
       'dead carcass meat from livestock', 'six legged winged organisms'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
7-140,A person can see,"{'text': array(['a radio recording', 'an emotion', 'a written message',
       'an abstract idea'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
591,"When looking for good soil for plants, typically what is optimal?","{'text': array(['malleable and nutritious', 'dry and sandy', 'grainy and bitter',
       'compact and hard'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
7-391,Animals are drawn to,"{'text': array(['gold', 'houses', 'feeders', 'Carbon Dioxide'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
1672,Squirrels spend their fall,"{'text': array(['looking for pretty leaves to collect',
       'stockpiling rocks for fighting in the winter',
       'stockpiling pecans for the frigid months',
       'collecting twigs to keep warm'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
9-464,Rainbows are always found after what?,"{'text': array(['A fire', 'A tornado', 'Rainfall', 'Cereal'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
9-983,Crop rotation has a positive impact on what?,"{'text': array(['government mentality', 'dirt quality', 'town economies',
       'crop watering'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
9-179,the best method for detecting texture is,"{'text': array(['rubbing it', 'seeing it', 'hearing it', 'tasting it'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
7-942,Cold-blooded animals are often,"{'text': array(['fast', 'large', 'hairless', 'slow'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
7-100,Grey clouds can bring,"{'text': array(['sunlight', 'falling water molecules', 'blooming flowers',
       'drought conditions'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
9-30,Which animal is considered a predator?,"{'text': array(['ant', 'snake', 'elephant', 'giraffe'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
1709,Pollinators,"{'text': array(['enable plants to continue flourishing',
       'play an unimportant role in the reproduction process',
       'are useless to plants', 'are considered unwanted pests'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
8-491,"A farmer harvests seeds from some plants, such as tomatoes, in order to plant them later on. These seeds, once planted","{'text': array(['have their own dirt', 'have their own sunlight',
       'have a lot of sand', 'contain their necessary nutrition'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
44,What type of characteristics are people not born with?,"{'text': array(['genetics', 'skills', 'physical attributes', 'height'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
1023,A spinning object is used to make,"{'text': array(['steam', 'heat', 'water', 'electricity'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
1911,One of the negative consequences of offshore oil platforms is,"{'text': array(['evaporation of the surrounding water',
       'discharge of liquid petroleum in the surrounding sea',
       'improvement in the conditions of sea life',
       'increase in the birthrate of sea birds'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
429,The unit of measure derived from French word millilitre is a unit used for measuring volume generally used for values between 1 and,"{'text': array(['1000', '250', '5000', '300'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
8-49,"A man's child runs through the yard in the sprinklers, getting mud all over their feet. The child then runs around on the porch, tracking mud everywhere. While the mud is still wet, the man decides to clean off the porch by","{'text': array(['getting a new child', 'yelling at the mud',
       'asking the child to stop', 'turning on the hose'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
520,Earthquakes,"{'text': array(['only happen in California', 'cause solar and lunar eclipses',
       'will break your vases', 'make bridges much safer'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
7-1128,A seismograph can accurately describe,"{'text': array(['how rough the footing will be', 'how bad the weather will be',
       'how stable the ground will be', 'how shaky the horse will be'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
7-394,"Light from further away may appear to be less bright than other, closer sources, such as in which instance?","{'text': array(['the sun is always bright', 'the moon is brighter than stars',
       'the moon is brighter than a floodlight',
       'the sun is darker than the moon'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
9-1166,A plant needs a specific climate to grow and,"{'text': array(['wither', 'persist', 'die', 'decay'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
7-884,Banging on a drum causes,"{'text': array(['music to be loud', 'music to be appealing',
       'reverberations to strike the eardrum', 'concerts to sell out'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
9-501,What may have been formed by a volcano?,"{'text': array(['Mt. McKinley', 'Lake Pontchartrain', 'The great lakes',
       'Niagara Falls'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
9-757,"Humans, cats, dogs, and elephants are known as mammals because their kids are born alive. Non-mammalian babies are born","{'text': array(['old', 'dead', 'in an egg', 'big'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
7-725,Wind can cause,"{'text': array(['basements to flood due to weather',
       'small birds to kill large birds', 'waterfalls to flow backwards',
       'stones to weather down to pebbles'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
1300,Inherited characteristics,"{'text': array(['include mice being able to navigate a maze',
       'include learning to sit on command',
       'include dolphins doing tricks for their trainers',
       'include spots on a ladybug'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
9-230,How could we determine approximately how far a bird is from the ground?,"{'text': array(['Measure the altitude of the bird using a reference point, such as a tall building.',
       'Identify the species of bird',
       'Ask the bird how high it was when it returns back to earth',
       ""Measure the bird's mass""], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
9-988,Endangered pandas are sometimes,"{'text': array(['accidentally dropped into volcanoes',
       'confined to enclosures to be viewed by the public',
       'found eating corn in the middle of North America',
       'made into delicious rare steaks'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
9-393,Algae can be found in,"{'text': array(['reservoir', 'meat', 'street', 'tree'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
7-823,A toaster converts electrical energy into heat energy for toasting much like,"{'text': array(['a campfire toasts bread', 'a microwave heats soup',
       'a fire burns paper', 'a small oven works'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
9-24,"An octopus, when in danger and unable to swim to safety, may find itself","{'text': array(['mimicking other things', 'melting into sand',
       'creating new homes', 'mocking other fish'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
570,What does someone do when creating music?,"{'text': array(['hit a toy baseball with a bat',
       'shake a baby rattle with your hand',
       'bang the wall with your fist',
       'pluck the strings of a fingerboard with your fingers'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
9-124,The pull the human planet space rock orbiter has on certain bodies of dihydrogen monooxide results in?,"{'text': array(['telescope views', 'water level fluctuations', 'animal',
       'plant harvesting'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
9-199,"Since density = mass / volume, denser liquids such as water sink more than","{'text': array(['baby oil', 'corn syrup or', 'milk', 'honey'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
767,Photosynthesis can be performed by,"{'text': array(['a cabbage cell', 'a bee cell', 'a bear cell', 'a cat cell'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
28,The force exerted on an object and distance traveled have what kind of relationship?,"{'text': array(['reverse', 'inverse', 'equal', 'direct'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
9-1134,all cells use cellular respiration to,"{'text': array(['photosynthesize', 'release waste', 'perform meiosis',
       'release energy'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
9-1030,The viewing oriented sensor of a prairie creature are for what?,"{'text': array(['reproductive purposes', 'viewing sounds', 'sensing views',
       'sensing tastes'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
9-18,"A dog is going to have to corral sheep for the afternoon, so it needs to prepare its body for the enormous workload ahead of it. The dog is","{'text': array(['breaks for birds on the road', 'given a large breakfast',
       'eats a few corn cobs', 'given two apples to watch'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
8-378,"A woman sells bracelets that she makes. The bracelets gain popularity, and the woman makes incredibly large amounts of money from the sales. After a while, very few people are still buying the bracelets, so","{'text': array(['the woman makes more money',
       'the woman makes the same amount of money',
       'the woman spends more money', 'the woman makes less money'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
7-677,A desert environment is,"{'text': array(['dry, grass covered, and humid', 'lush, green, and tropical',
       'arid, parched, and sun-baked', 'dry, damp, and lush'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
