id,question_stem,choices,urdu_question_stem,urdu_choices,answerKey
8-87,If you viewed an eclipse from the moon,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['You would transport to another dimension', 'It would change time',
       'You would be thrown off the moon', 'it would go in reverse'],
      dtype=object)}",اگر آپ چاند سے گرہن دیکھیں,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['آپ کسی دوسری جہت میں منتقل ہو جائیں گے', 'یہ وقت کو بدل دے گا',
       'آپ کو چاند سے باہر پھینک دیا جائے گا', 'یہ الٹا چلے گا'],
      dtype=object)}",D
8-323,"in order for utility of a tool to occur, what has to happen first?","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['it needs to be cleaned', 'none of these',
       'it needs to be baptized', 'it needs to be invented'], dtype=object)}",کسی آلے کے کارآمد ہونے کے لیے، سب سے پہلے کیا ہونا ضروری ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['اسے صاف کرنے کی ضرورت ہے۔', 'ان میں سے کوئی نہیں',
       'اسے بپتسمہ دینے کی ضرورت ہے۔', 'اسے ایجاد کرنے کی ضرورت ہے۔'],
      dtype=object)}",D
888,A bird eating a lizard is an example of what type of relationship?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['symbiotic', 'producer', 'parasitic', 'predatory'], dtype=object)}",ایک پرندے کا چھپکلی کو کھانا کس قسم کے تعلق کی مثال ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['ہم زیستی', 'پیدا کار', 'طفیلی', 'شکاری'], dtype=object)}",D
1365,Trees grow growth-rings one time each year; so which of these is correct?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['a tree with nine rings is nine years old',
       'a tree with six rings is seven years old',
       'a tree with eight rings is five years old',
       'telling how old a tree is is impossible based on rings'],
      dtype=object)}",درختوں میں ہر سال ایک حلقہ بنتا ہے؛ تو ان میں سے کون سا درست ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['نو حلقوں والا ایک درخت نو سال کا ہے',
       'چھ حلقوں والا ایک درخت سات سال کا ہے',
       'آٹھ حلقوں والا ایک درخت پانچ سال کا ہے',
       'حلقوں کی بنیاد پر درخت کی عمر بتانا ناممکن ہے'], dtype=object)}",A
1646,To survive living things,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['need money', 'need Pu', 'need H2O', 'need hunting skills'],
      dtype=object)}",جانداروں کو زندہ رہنے کے لیے,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['پیسوں کی ضرورت ہوتی ہے', 'پلوٹونیم (Pu) کی ضرورت ہوتی ہے',
       'پانی (H2O) کی ضرورت ہوتی ہے', 'شکار کی مہارت کی ضرورت ہوتی ہے'],
      dtype=object)}",C
773,Which cannot be an example of crop rotation?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['planting tomatoes one year and alfalfa the next',
       'planting zucchini one year and beans the next',
       'planting bell peppers one year and hot peppers the next',
       'planting corn one year and lelttuce the next'], dtype=object)}",مندرجہ ذیل میں سے کون سی فصلوں کی گردش کی مثال نہیں ہو سکتی؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['ایک سال ٹماٹر اور اگلے سال لوسن کاشت کرنا',
       'ایک سال زکینی اور اگلے سال پھلیاں کاشت کرنا',
       'ایک سال شملہ مرچ اور اگلے سال تیز مرچیں کاشت کرنا',
       'ایک سال مکئی اور اگلے سال سلاد پتہ کاشت کرنا'], dtype=object)}",C
9-1176,"of one misses the surf tide in the morning, will they get another chance?","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['they have zero chance', 'they are still in luck',
       'it is too late', 'all of these'], dtype=object)}",اگر کوئی صبح کی سرف لہر سے چوک جائے، تو کیا اسے ایک اور موقع ملے گا؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['اس کے پاس کوئی موقع نہیں ہے', 'وہ اب بھی خوش قسمت ہے',
       'بہت دیر ہو چکی ہے', 'یہ تمام'], dtype=object)}",B
9-613,"if you push something harder, it will","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['increase in length', 'travel less distance', 'cover more length',
       'remain in place'], dtype=object)}",اگر آپ کسی چیز کو زیادہ زور سے دھکیلیں تو وہ,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['لمبائی میں بڑھ جائے گی', 'کم فاصلہ طے کرے گی',
       'زیادہ فاصلہ طے کرے گی', 'اپنی جگہ پر رہے گی'], dtype=object)}",C
9-927,which one of these students can accurately determine the color of the board marker?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['a student gazing upon it', 'a student in the toilet',
       'a student sitting at home', 'a student at the playground'],
      dtype=object)}",ان طلباء میں سے کون سا بورڈ مارکر کا رنگ صحیح طور پر بتا سکتا ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['ایک طالب علم جو اسے دیکھ رہا ہے',
       'ایک طالب علم جو بیت الخلا میں ہے',
       'ایک طالب علم جو گھر پر بیٹھا ہے',
       'ایک طالب علم جو کھیل کے میدان میں ہے'], dtype=object)}",A
9-1041,What do some animals use to adapt to hot temperatures?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['perspiration', 'eating', 'fire', 'blankets'], dtype=object)}",کچھ جانور گرم درجہ حرارت کے مطابق ڈھلنے کے لیے کیا استعمال کرتے ہیں؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['پسینہ', 'کھانا', 'آگ', 'کمبل'], dtype=object)}",A
567,What is an example of combining,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['adding H2O to water', 'pouring NaCl into salt',
       'adding carbon dioxide to CO2', 'blending eggs into cake batter'],
      dtype=object)}",ملانے کی ایک مثال کیا ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['پانی میں H2O ملانا', 'نمک میں NaCl ڈالنا',
       'CO2 میں کاربن ڈائی آکسائیڈ ملانا', 'کیک کے آمیزے میں انڈے ملانا'],
      dtype=object)}",D
297,Pushing on a pedal is an example of,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['force', 'patching', 'practice', 'speed'], dtype=object)}",پیڈل کو دبانا کس کی مثال ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['قوت', 'پیوند کاری', 'مشق', 'رفتار'], dtype=object)}",A
9-131,Electrical conduction would be when a voltage flows through,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['a central nervous system', 'a long tree branch',
       'a piece of steel wool', 'a body of water'], dtype=object)}",برقی ایصال ____ میں سے وولٹیج کا بہاؤ ہے۔,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['ایک مرکزی اعصابی نظام', 'درخت کی ایک لمبی شاخ',
       'اسٹیل وول کا ایک ٹکڑا', 'پانی کا ایک ذخیرہ'], dtype=object)}",C
323,Which example best shows the effect of vibration on matter?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['a paper airplane', 'a harpsicord', 'a pillow', 'box of candy'],
      dtype=object)}",کون سی مثال مادے پر ارتعاش کے اثر کو بہترین طور پر دکھاتی ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['کاغذ کا ہوائی جہاز', 'ہارپسیکورڈ', 'تکیہ', 'کینڈی کا ڈبہ'],
      dtype=object)}",B
7-245,"When broken down, what happens to an object's shape and mass","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['it turns to water', 'it shall be broken', 'it is then altered',
       'it stays the same'], dtype=object)}",جب کسی چیز کو توڑا جاتا ہے تو اس کی شکل اور کمیت کا کیا ہوتا ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['یہ پانی میں بدل جاتی ہے', 'یہ ٹوٹ جائے گی',
       'پھر اس میں تبدیلی آ جاتی ہے', 'یہ ویسی ہی رہتی ہے'], dtype=object)}",C
9-976,Leaves are the part of a plant with the most a type of,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['root', 'bud', 'bacteria', 'specialized compartment'], dtype=object)}",وہ کونسی چیز ہے جس کی ایک قسم پودے کے پتوں میں سب سے زیادہ ہوتی ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['جڑ', 'کلی', 'بیکٹیریا', 'مخصوص خانہ'], dtype=object)}",D
105,Which location gets the most sunlight?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['northern Canada', 'northern Russia', 'Brazilian rainforest',
       'Sahara'], dtype=object)}",کس مقام پر سب سے زیادہ سورج کی روشنی پڑتی ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['شمالی کینیڈا', 'شمالی روس', 'برازیل کے برساتی جنگلات', 'صحارا'],
      dtype=object)}",D
7-94,"When animals need to recharge, they are unable to use electricity, and therefore","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['take naps', 'rely on fat', 'use fuel sources', 'rely on calories'],
      dtype=object)}",جب جانوروں کو توانائی بحال کرنے کی ضرورت ہوتی ہے، تو وہ بجلی کا استعمال نہیں کر سکتے، اور اسی لیے,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['جھپکیاں لیتے ہیں', 'چربی پر انحصار کرتے ہیں',
       'ایندھن کے ذرائع استعمال کرتے ہیں', 'کیلوریز پر انحصار کرتے ہیں'],
      dtype=object)}",D
1989,What is an example of wiring requiring an electrical conductor?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['a light switch turning on lights because of steel inside the wiring',
       'a toasting failing because it used aluminium',
       'a lightbulb burning out because of a faulty connection',
       'a power outage because of an electrical storm'], dtype=object)}",ایسی وائرنگ کی مثال کیا ہے جس میں برقی موصل (electrical conductor) کی ضرورت ہوتی ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['وائرنگ کے اندر اسٹیل کی وجہ سے لائٹ سوئچ کا لائٹس کو آن کرنا',
       'ایلومینیم کے استعمال کی وجہ سے ٹوسٹر کا ناکام ہو جانا',
       'ناقص کنکشن کی وجہ سے لائٹ بلب کا جل جانا',
       'بجلی کے طوفان کی وجہ سے بجلی کی بندش'], dtype=object)}",A
7-1023,"Leaving coconut oil out on a counter, as the day grows hotter, what happens to the oil?","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['changes from solid to wet', 'it hardens up a lot',
       'it begins to rot', 'it needs to be refrigerated'], dtype=object)}",اگر ناریل کا تیل کاؤنٹر پر رکھا ہو اور دن گرم ہوتا جائے، تو تیل کا کیا ہوگا؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['یہ ٹھوس سے مائع حالت میں بدل جاتا ہے',
       'یہ بہت زیادہ سخت ہو جاتا ہے', 'یہ سڑنا شروع ہو جاتا ہے',
       'اسے فریج میں رکھنے کی ضرورت ہوتی ہے'], dtype=object)}",A
9-780,"When a water balloon is frozen, it will contain","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['a much less amount of water', 'a whole bunch of frozen ice-cream',
       'the same amount of water', 'a greater amount of water'],
      dtype=object)}",جب پانی کا غبارہ جم جاتا ہے، تو اس میں ہوتا ہے,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['پانی کی بہت کم مقدار', 'بہت ساری جمی ہوئی آئس کریم',
       'پانی کی اتنی ہی مقدار', 'پانی کی زیادہ مقدار'], dtype=object)}",C
9-291,Where might you find eggs?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['forest', 'space', 'lava', 'ocean'], dtype=object)}",انڈے کہاں مل سکتے ہیں؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['جنگل', 'خلا', 'لاوا', 'سمندر'], dtype=object)}",A
100,What is more likely to have caused pollution in the air?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['it developed on its own', 'a hurricane',
       'an action by a business', 'a flock of birds'], dtype=object)}",ہوا میں آلودگی کا سبب بننے کا زیادہ امکان کس کا ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['یہ خود بخود پیدا ہوئی', 'ایک سمندری طوفان',
       'کسی کاروبار کا کوئی عمل', 'پرندوں کا ایک غول'], dtype=object)}",C
9-850,A sunburn is most likely to happen after hiking in a,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['desert', 'forest', 'wetland', 'jungle'], dtype=object)}",ہائیکنگ کے بعد دھوپ سے جلد جلنے (سن برن) کا سب سے زیادہ امکان کس جگہ پر ہوتا ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['صحرا', 'جنگل', 'دلدلی علاقہ', 'گھنا جنگل'], dtype=object)}",A
9-761,A lever is used to move objects that are,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['hefty', 'light', 'short', 'round'], dtype=object)}",لیور ان اشیاء کو حرکت دینے کے لیے استعمال ہوتا ہے جو,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['بھاری', 'ہلکی', 'چھوٹی', 'گول'], dtype=object)}",A
8-113,A boy might have brown hair due to,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['inheritance', 'luck', 'magic', 'fire'], dtype=object)}",ایک لڑکے کے بھورے بال کس وجہ سے ہو سکتے ہیں؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['وراثت', 'قسمت', 'جادو', 'آگ'], dtype=object)}",A
7-229,A specific plant is found,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['in some areas', 'in outer space', 'nowhere', 'in all areas'],
      dtype=object)}",ایک خاص پودا پایا جاتا ہے,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['کچھ علاقوں میں', 'خلا میں', 'کہیں نہیں', 'تمام علاقوں میں'],
      dtype=object)}",A
9-425,What does girth in a flower do?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['makes it smell better', 'makes it more beautiful',
       'decreases the stigma size', 'increases the pollenator amount'],
      dtype=object)}",پھول کا گھیرا کیا کام کرتا ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['اس کی خوشبو کو بہتر بناتا ہے', 'اسے زیادہ خوبصورت بناتا ہے',
       'اسٹگما کا سائز کم کرتا ہے', 'پولینیٹرز کی تعداد کو بڑھاتا ہے'],
      dtype=object)}",D
9-127,"if a bad wiring affected a living room floor, which of these would be safest to climb?","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['the mahogany desk', 'the metal chair', 'the steel lamp',
       'the ceramic floor'], dtype=object)}",اگر خراب وائرنگ کی وجہ سے کسی رہائشی کمرے کے فرش میں کرنٹ آ گیا ہو، تو ان میں سے کس چیز پر چڑھنا سب سے محفوظ ہوگا؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['مہوگنی کی میز', 'دھات کی کرسی', 'اسٹیل کا لیمپ', 'سیرامک کا فرش'],
      dtype=object)}",A
1509,What is an example of the fact that crop rotation renews the soil?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['planting rows of carrots and peas next to one another',
       'planting peas one season then carrots the next',
       'planting a field of corn with different types in it',
       'tilling the soil in between crops'], dtype=object)}",اس بات کی کیا مثال ہے کہ فصلوں کا ہیر پھیر مٹی کو تجدید بخشتا ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['گاجر اور مٹر کی قطاریں ایک دوسرے کے ساتھ لگانا',
       'ایک موسم میں مٹر لگانا پھر اگلے موسم میں گاجریں لگانا',
       'مکئی کا ایک کھیت لگانا جس میں اس کی مختلف اقسام ہوں',
       'فصلوں کے درمیان مٹی میں ہل چلانا'], dtype=object)}",B
1159,"When the old man was much younger, he still had","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['brown eyes', 'baldness', 'gray hair', 'wrinkled skin'],
      dtype=object)}",جب بوڑھا آدمی بہت جوان تھا، تب بھی اس کی/اس کے ___ تھے۔,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['بھوری آنکھیں', 'گنجا پن', 'سفید بال', 'جھریوں والی جلد'],
      dtype=object)}",A
9-639,The Appalachians reach amazing heights because of how stone,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['blew up', 'piles together', 'melted lava', 'created anchors'],
      dtype=object)}",اپالیشیئن پہاڑ حیرت انگیز بلندیوں تک پہنچتے ہیں کیونکہ پتھر,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['پھٹ گئے', 'ایک دوسرے پر جمع ہو گئے', 'پگھل کر لاوا بن گئے',
       'لنگر بنائے'], dtype=object)}",B
8-248,An animal can do some essential things without being taught or ever seeing it done,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['we are unaware', 'that is negative', 'that is affirmative',
       'all of these'], dtype=object)}",ایک جانور کچھ ضروری کام بغیر سکھائے یا کبھی اسے ہوتا ہوا دیکھے بھی کر سکتا ہے۔,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['ہم لاعلم ہیں', 'یہ منفی ہے', 'یہ مثبت ہے', 'یہ تمام'],
      dtype=object)}",C
9-314,A bear's blubber,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['enables him to keep his body cozy', 'enables him to eat more',
       'is useless and a burden to his health',
       'makes it more difficult for the bear to function'], dtype=object)}",ریچھ کی چربی,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['اسے اپنے جسم کو گرم رکھنے میں مدد دیتی ہے',
       'اسے زیادہ کھانے کے قابل بناتی ہے',
       'اس کی صحت کے لیے بیکار اور ایک بوجھ ہے',
       'ریچھ کے لیے کام کرنا مزید مشکل بنا دیتی ہے'], dtype=object)}",A
9-781,What would burn more quickly?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['wet log', 'green leaves', 'soggy tree trunk',
       'sun dried branches'], dtype=object)}",کون سی چیز زیادہ تیزی سے جلے گی؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['گیلا لکڑی کا کندا', 'ہرے پتے', 'پانی میں بھیگا ہوا درخت کا تنا',
       'دھوپ میں سوکھی ہوئی شاخیں'], dtype=object)}",D
9-1148,If it starts raining acid rain you should,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['Go for a quick run', 'Move the car to the garage',
       'Go dancing in the rain', 'Go for a bike ride'], dtype=object)}",اگر تیزابی بارش شروع ہو جائے تو آپ کو کیا کرنا چاہیے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['ایک تیز دوڑ کے لیے جائیں', 'گاڑی کو گیراج میں لے جائیں',
       'بارش میں ناچنے جائیں', 'سائیکل کی سواری کے لیے جائیں'],
      dtype=object)}",B
9-129,An indian hawthorn that has received more water will usually be,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['taller', 'older', 'less healthy', 'colder'], dtype=object)}",ایک انڈین ہاوتھورن جسے زیادہ پانی ملا ہو، عام طور پر ہوگا,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['زیادہ لمبا', 'زیادہ عمر کا', 'کم صحت مند', 'زیادہ ٹھنڈا'],
      dtype=object)}",A
1575,Grey clouds are a source of,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['hot weather', 'electrical currents', 'falling liquids',
       'vitamin D'], dtype=object)}",سرمئی بادل کس چیز کا ذریعہ ہیں؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['گرم موسم', 'برقی رویں', 'گرنے والے مائعات', 'وٹامن ڈی'],
      dtype=object)}",C
7-1136,Which traits could be pass along using reproduction and genetic material?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['nose', 'thoughts', 'money', 'habits.'], dtype=object)}",تولید اور جینیاتی مواد کے ذریعے کون سی خصوصیات منتقل ہو سکتی ہیں؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['ناک', 'خیالات', 'پیسہ', 'عادات'], dtype=object)}",A
7-733,Some lizards can live in,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['environments lacking oxygen', 'moisture deficient environments',
       'zero gravity environments', 'food barren environments'],
      dtype=object)}",کچھ چھپکلیاں رہ سکتی ہیں,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['آکسیجن کی کمی والے ماحول میں', 'نمی کی کمی والے ماحول میں',
       'صفر کشش ثقل والے ماحول میں', 'خوراک سے خالی ماحول میں'],
      dtype=object)}",B
571,What are sources of shelter for small animals?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['andesite', 'wind', 'sun', 'air'], dtype=object)}",چھوٹے جانوروں کے لیے پناہ گاہ کے ذرائع کیا ہیں؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['اینڈیسائٹ', 'ہوا', 'سورج', 'ہوا'], dtype=object)}",A
7-751,An example of a reusable product is,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['a plastic cup', 'a soda can', 'a steel cup', 'a trash bag'],
      dtype=object)}",دوبارہ قابلِ استعمال مصنوعات کی ایک مثال ہے,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['پلاسٹک کا کپ', 'سوڈا کا کین', 'اسٹیل کا کپ', 'کچرے کا بیگ'],
      dtype=object)}",C
7-722,Moving heavy objects,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['requires more might', 'requires little strength',
       'should be easy', 'should be avoided'], dtype=object)}",بھاری اشیاء کو منتقل کرنا,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['زیادہ طاقت کی ضرورت ہوتی ہے', 'کم طاقت کی ضرورت ہوتی ہے',
       'آسان ہونا چاہئے', 'اس سے گریز کرنا چاہئے'], dtype=object)}",A
9-959,Which rock is a fingernail harder than?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['Copper', 'Graphite', 'Calcite', 'Quartz'], dtype=object)}",ناخن کس چٹان سے زیادہ سخت ہوتا ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['تانبا', 'گریفائٹ', 'کیلسائٹ', 'کوارٹز'], dtype=object)}",B
9-901,The back and forth on daily routine in the sky happens how often?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['one time during the single rotation', 'one cycle of the sun',
       'during the winter solstice',
       'springtime when the moon is at apex'], dtype=object)}",آسمان پر روزمرہ کے معمول کا یہ اتار چڑھاؤ کتنی بار ہوتا ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['ایک گردش کے دوران ایک بار', 'سورج کا ایک چکر',
       'سرمائی انقلابِ شمسی کے دوران',
       'موسمِ بہار میں جب چاند اپنے عروج پر ہو'], dtype=object)}",A
1389,What is an example of if an organism becomes too hot then that organism may die?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['a dog panting under the hot sun',
       'a bear shedding fur to cool off',
       'an earthworm drying up on a sidewalk',
       'a bird stopping to rest after a long flight'], dtype=object)}",اس کی کیا مثال ہے کہ اگر کوئی جاندار بہت زیادہ گرم ہو جائے تو وہ مر سکتا ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['ایک کتے کا تیز دھوپ میں ہانپنا',
       'ایک ریچھ کا ٹھنڈا ہونے کے لیے اپنے بال جھاڑنا',
       'ایک کیچوے کا فٹ پاتھ پر خشک ہو جانا',
       'ایک پرندے کا لمبی پرواز کے بعد آرام کے لیے رکنا'], dtype=object)}",C
8-172,"Water, while a finite resource, is renewable because","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['water is good to drink', 'water is hard to dry up',
       'water is quite cyclical', 'water is found in trees'], dtype=object)}",پانی، ایک محدود وسیلہ ہونے کے باوجود، قابلِ تجدید ہے کیونکہ,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['پانی پینے کے لیے اچھا ہے', 'پانی کو خشک کرنا مشکل ہے',
       'پانی کافی چکری ہے', 'پانی درختوں میں پایا جاتا ہے'], dtype=object)}",C
8-80,Flowers start die when,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['They are pulled from the ground', 'They are sung too',
       'They are given water', 'They have lots of sunlight'], dtype=object)}",پھول کب مرجھانا شروع ہو جاتے ہیں؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['انہیں زمین سے اکھاڑ لیا جاتا ہے', 'ان کے لیے گانا گایا جاتا ہے',
       'انہیں پانی دیا جاتا ہے', 'انہیں بہت زیادہ دھوپ ملتی ہے'],
      dtype=object)}",A
8-96,which of these apply to the values of matter vibration and sound given off?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['both values are inversely proportional',
       'both values have direct proportionality',
       'both values are unrelated', 'none of these'], dtype=object)}",مادے کے ارتعاش اور اس سے پیدا ہونے والی آواز کی مقداروں پر ان میں سے کون سا بیان لاگو ہوتا ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['دونوں مقداریں معکوس متناسب ہیں',
       'دونوں مقداریں براہ راست متناسب ہیں',
       'دونوں مقداریں غیر متعلق ہیں', 'ان میں سے کوئی نہیں'], dtype=object)}",B
1537,The mantle is a layer of the Earth; what is something other than a layer?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['crust', 'inner core', 'outer core', 'lava pit'], dtype=object)}",مینٹل زمین کی ایک تہہ ہے؛ ان میں سے کیا چیز ایک تہہ کے علاوہ ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['کرسٹ', 'اندرونی مرکزہ', 'بیرونی مرکزہ', 'لاوا کا گڑھا'],
      dtype=object)}",D
9-345,What is larger then the human planet and causes cycles of day and night?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['the moon', 'sun', 'ocean and', 'mars'], dtype=object)}",وہ کیا ہے جو ہمارے سیارے زمین سے بڑا ہے اور دن اور رات کا باعث بنتا ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['چاند', 'سورج', 'سمندر', 'مریخ'], dtype=object)}",B
7-1064,High carbon steel contains,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['nickel', 'ammonia', 'Na', 'Fe'], dtype=object)}",ہائی کاربن اسٹیل میں ہوتا ہے,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['نکل', 'امونیا', 'Na', 'Fe'], dtype=object)}",D
9-172,Berries,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['should be ate when they are green', 'keep your brain clean',
       'Are only available in Canada', 'Are all very poisonous'],
      dtype=object)}",بیریاں,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['سبز ہونے پر کھانی چاہئیں', 'آپ کے دماغ کو صاف رکھتی ہیں',
       'صرف کینیڈا میں دستیاب ہیں', 'سب بہت زہریلی ہوتی ہیں'],
      dtype=object)}",B
