id,question_stem,choices,answerKey,pashto_question,pashto_choices
1160,There was a lot more water vapor in the air when we went on a trip to,"{'text': array(['Hanoi', 'Athens', 'Baghdad', 'Phoenix'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,کله چې موږ د سفر لپاره لاړو، په هوا کې د اوبو بخار ډیر و,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""هاني"", ""اتن"", ""بغداد"", ""فینکس""]}"
9-298,An example of conservation is avoiding the use of,"{'text': array(['gasoline', 'air', 'snow', 'clothes'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,د ساتنې یوه بیلګه د دې څخه د کارولو مخنیوی دی,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""ګازولین"", ""هوا"", ""برف"", ""کالي""]}"
1189,What can feathers on Spheniscidae be used for?,"{'text': array(['keeping warm', 'flying', 'sleeping', 'eating'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,د سپینیسکیدا د وزرو څخه څه شی جوړیدلی شي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""تودوخه ساتل"", ""الوتل"", ""خواب"", ""خوړل""]}"
8-395,Overpopulation can cause,"{'text': array(['More fresh water for people to drink',
       'Lower Life Expectancy in Countries', 'More food for more people',
       'More space for places to people to live'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,زیات نفوس کولی شي,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د خلکو د څښلو لپاره ډیر تازه اوبه"", ""په هیوادونو کې د ژوند د تمې کموالی"", ""د ډیر خلکو لپاره ډیر خواړه"", ""د خلکو د اوسیدو لپاره ډیر ځای""]}"
7-238,Shining a light through a diamond can,"{'text': array(['make a lot of bright lights shine',
       'summon a brilliant wave of color', 'heat up a room',
       'make a lot of money'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,د الماس له لارې رڼا رالویول کولی شي,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""ډیر روښانه رڼاګانې رامینځته کړي"", ""یو روښانه رنګ څپې راوباسي"", ""یو خونه ګرم کړي"", ""ډیر پیسې جوړې کړي""]}"
7-372,"If you were attacked by a shark and had to punch it sharply where it pulls in air from, you'd use your hand to make contact with","{'text': array(['its snout', 'its gills', 'its nose', 'its belly'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,که تاسو د یوې شارک لخوا برید شوی یاست او اړتیا لرئ چې چیرته چې هوا جذبوي، تیزه مکا وکړئ، نو تاسو به خپل لاس د,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د هغې خوله"", ""د هغې خولې"", ""د هغې پوزې"", ""د هغې نس""]}"
8-35,which of these would stop a car quicker?,"{'text': array(['a wheel with wet brake pads', 'a wheel without brake pads',
       'a wheel with worn brake pads', 'a wheel with dry brake pads'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,د دې څخه کوم یو موټر ژر ودروي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""یو څرخ چې لندبل بریک پیډونه لري"", ""یو څرخ چې بریک پیډونه نلري"", ""یو څرخ چې زړې بریک پیډونه لري"", ""یو څرخ چې وچ بریک پیډونه لري""]}"
9-271,what system is needed for a body to get its needed supply of the gas humans breathe in?,"{'text': array(['the circulatory system', 'the digestive system',
       'the school system', 'central nervous system'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,د کوم سیستم اړتیا ده چې بدن د هغه ګاز اړتیا ولري چې انسانان تنفس کوي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د دوران سیستم"", ""د هضمي سیستم"", ""د ښوونځي سیستم"", ""مرکزي عصبي سیستم""]}"
9-409,Every evening a child can look into the night sky and see that the moon is,"{'text': array(['gone', 'breaking', 'falling', 'moving upwards'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,هره شپه یوه ماشوم کولی شي د شپې آسمان ته وګوري او وویني چې سپوږمۍ,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""تللې"", ""شکسته"", ""راپرېوتلې"", ""پورته ځي""]}"
530,"When it's flying, a plane has no friction with the","{'text': array(['wings', 'ground', 'air', 'clouds'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,کله چې الوتکه الوتنه کوي، د دې سره هیڅ مالش نشته,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""پرتو"", ""ځمکه"", ""هوا"", ""ورځې""]}"
1426,To grow plants require,"{'text': array(['acid rain', 'pesticides', 'shafts of sunlight', 'moonbeam rays'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,د بوټو د وده کولو لپاره څه ته اړتیا ده؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""اسید باران"", ""حشره وژونکي"", ""د لمر شعاعونه"", ""د سپوږمۍ رڼا""]}"
8-466,What is the best way to guess a babies eye color?,"{'text': array(['The surroundings they are born in.', 'Their parents usual diet.',
       'Just take a random guess.',
       'The genealogy records of their family.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,د ماشوم د سترګو رنګ اټکل کولو تر ټولو غوره لاره څه ده؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""هغه چاپیریال چې دوی پکې زیږیدلي دي."", ""د دوی د والدینو معمول خوراک."", ""یوازې تصادفي اټکل وکړئ."", ""د دوی د کورنۍ د نسل ریکارډونه.""]}"
1577,What animal eats plants?,"{'text': array(['eagles', 'robins', 'owls', 'leopards'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,کوم حیوان بوټې خوري؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""بازونه"", ""روبینونه"", ""غوړې"", ""پینډر""]}"
8-257,Which of these is a hypothesis?,"{'text': array(['The ice caps will completely melt if global warming continues',
       'The earth is round', 'The earth revolves around the sun',
       'Gravity causes objects to fall'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,د دې څخه کومه یوه فرضیه ده؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""که نړیوال تودوخه دوام وکړي، د یخ پوښونه به بشپړ حل شي"", ""ځمکه ګرد ده"", ""ځمکه د لمر شاوخوا ګرځي"", ""جاذبه اشیاء راښکته کوي""]}"
378,What explains the characteristic lunar formations?,"{'text': array(['remains of ancient ponds', 'many collisions that have occured',
       'volcanic explosions over millions of years',
       'sink holes due to the moons porous nature'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,د ځانګړو قمري جوړښتونو وضاحت څه دی؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د پخوانیو حوضونو پاتې شوني"", ""ډیرې ټکرونه چې واقع شوي دي"", ""د ملیونونو کلونو په اوږدو کې د آتش فشانو چاودنې"", ""د سپوږمۍ د نفوذ لرونکي طبیعت له امله د ځمکې د خټو""]}"
8-41,Tadpoles start their lives as,"{'text': array(['Water animals', 'Frogs', 'Ants', 'College Students'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,تادپولونه خپل ژوند څنګه پیلوي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د اوبو حیوانات"", ""قورباغې"", ""مچۍ"", ""د پوهنتون محصلین""]}"
9-540,"If a person puts out four apples around their home on the same day, the molecules in which apple would be moving the most rapidly?","{'text': array(['the apple sitting on a sunny sidewalk',
       'the apple in the freezer',
       'the apple sitting on the shaded stoop', 'the apple in a closet'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,که یو شخص په یوه ورځ د خپل کور شاوخوا څلور سیبونه کیږدي، په کوم سیب کې مالیکولونه تر ټولو چټک حرکت کوي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""هغه سیب چې په لمرنۍ پله کې دی"", ""هغه سیب چې په یخچال کې دی"", ""هغه سیب چې په سیوري کې دی"", ""هغه سیب چې په المارۍ کې دی""]}"
266,What is used for sensing visual things?,"{'text': array(['nerves', 'tibia', 'nostril', 'cornea'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,د بصري شیانو د حس کولو لپاره څه کارول کیږي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""عصبونه"", ""تبیه"", ""ناخن"", ""قرنیه""]}"
1309,They studied the soil by using,"{'text': array(['plants', 'a telescope', 'roots', 'a microscope'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,هغوی د خاورې مطالعه د کومو شیانو په کارولو سره وکړه؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""بوټې"", ""تلسکوپ"", ""ریښې"", ""میکروسکوپ""]}"
7-1197,Bill's arm got cold when he put it inside the,"{'text': array(['refrigerator', 'room', 'jacket', 'oven'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,د بل د لاس یخ شو کله چې هغه یې په داخل کې واچوه,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""یخچال"", ""کوټه"", ""جاکټ"", ""اوون""]}"
7-891,A recyclable material can be,"{'text': array(['transformed', 'traded', 'thrown away', 'used more times'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,د بیا کارېدونکي مواد څه شی کیدی شي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""بدل شي"", ""تبادله شي"", ""پریښودل شي"", ""بیا ځل وکارول شي""]}"
1180,What is different about birth in humans and chickens?,"{'text': array(['Mother', 'Fertilization', 'Father', 'the hard shell'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,د انسانانو او چرګانو په زېږیدو کې څه توپیر دی؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""مور"", ""تخصیب"", ""پلار"", ""سخت پوښ""]}"
1204,Which of these situations is an example of pollutants?,"{'text': array(['plastic bags floating in the ocean',
       'mallard ducks floating on a lake',
       'cottonwood seeds floating in the air',
       'cirrus clouds floating in the sky'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,د دې حالاتو څخه کوم یو د ککړتیاوو مثال دی؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""په سمندر کې د پلاستیکي کڅوړو تیرېدل"", ""په جهيل کې د مالارد وزرونو تیرېدل"", ""په هوا کې د کاټن وود تخمونه تیرېدل"", ""په آسمان کې د سیرس وريځې تیرېدل""]}"
7-52,Human reproduction requires,"{'text': array(['eggs with shells', 'nest incubation', 'a nest', 'a womb'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,د انسانانو تولید لپاره څه ته اړتیا ده؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د پوښ سره هګۍ"", ""د ګوداګي انکوبیشن"", ""یو ګوداګی"", ""یو رحم""]}"
1759,Thermometers,"{'text': array(['can help you monitor a fever',
       'indicate levels of mercury in the blood',
       'read exactly at 98.6 degrees', 'are used only for babies'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,ترمامیترونه,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""کولی شي تاسو سره د تودوخې څارلو کې مرسته وکړي"", ""د وینې کې د جیوه کچه ښیي"", ""په دقیق ډول 98.6 درجې لوستل کیږي"", ""یوازې د ماشومانو لپاره کارول کیږي""]}"
9-655,"if the earth was a living room, what can be done to melt the glaciers?","{'text': array(['someone would turn up the room heater',
       'someone would turn up the air conditioner',
       'someone would turn up the music',
       'someone would turn on the light'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,که چیرې ځمکه یوه د اوسیدو خونه وي، نو د یخچالونو د مړ کولو لپاره څه کولی شي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""څوک به د خوني تودوخې وسیله لوړه کړي"", ""څوک به د هوا د کنټرول وسیله لوړه کړي"", ""څوک به موسیقي لوړه کړي"", ""څوک به رڼا چالان کړي""]}"
132,What would happen when balloons heat up?,"{'text': array(['they get bigger', 'they get smaller', 'nothing happens',
       'they fall down'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,کله چې بالونونه تودوخه شي، څه پیښیږي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""غټیږي"", ""کوچني کیږي"", ""هیڅ شی نه پیښیږي"", ""پرېوتي""]}"
8-79,"A balloon is filled with helium for a party. After the party, the balloons are left in the living room, where a fireplace is heating the room. The balloons","{'text': array(['expand', 'melt', 'shrink', 'fall'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,یو بالون د یوې مهمانی لپاره هلیوم سره ډک شوی. د مهمانی وروسته، بالونونه په د اوسیدو خونه کې پریښودل کیږي، چیرې چې د اور ځای خونه تودوي. بالونونه,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""غټیږي"", ""مړيږي"", ""کوچني کیږي"", ""پرېوتي""]}"
1835,Seals are most likely to be found in what type of environment?,"{'text': array(['desert', 'arctic', 'Mediterranean', 'tropical'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,د سیل مخلوقاتو د کوم ډول چاپیریال کې موندل کیږي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""دښت"", ""قطبي"", ""مېدیترانې"", ""تروپیکي""]}"
9-149,"When the eggs hatch, the offspring are","{'text': array(['killed', 'hurt', 'born', 'cold'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,کله چې هګۍ هګۍ شي، نسلونه,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""وژل کیږي"", ""زخمي کیږي"", ""زېږیدلي"", ""یخ دي""]}"
695,Some berries may be eaten by,"{'text': array(['a bear or person', 'a bear or shark', 'a bear or lion',
       'a bear or wolf'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,ځینې توتونه د چا لخوا خوړل کیدی شي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""خرس یا انسان"", ""خرس یا شارک"", ""خرس یا شیر"", ""خرس یا ولور""]}"
8-179,A person has a chance to experience an equinox,"{'text': array(['weekly', 'monthly', 'annually', 'biannually'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,یو شخص د برابري ورځې تجربه کولو چانس لري,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""هفته کې"", ""میاشت کې"", ""کال کې"", ""نیم کال کې""]}"
7-50,Overpopulation of an organism can,"{'text': array(['strain the resources of an ecosystem',
       'cause boundless growth of resources',
       'lead to extinction of the organism',
       'cause the ecosystem to flourish'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,د یو موجودیت د زیات نفوس له امله څه پیښیږي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د ایکوسیستم سرچینې فشار راوړي"", ""د سرچینو بې حده وده رامنځته کوي"", ""د موجودیت د نابودیدو لامل کیږي"", ""د ایکوسیستم وده رامنځته کوي""]}"
508,"To improve health, what is a good strategy?","{'text': array(['high risk lifestyle', 'restaurant food', 'business trip',
       'a spa trip'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,د روغتیا د ښه کولو لپاره کومه ستراتیژي ښه ده؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""لوړه خطره لرونکې طرز ژوند"", ""رستوران خوراک"", ""سوداګریز سفر"", ""د سپا سفر""]}"
1674,A girl and her mom have the same,"{'text': array(['date of birth', 'shirt', 'number of toenails', 'hair length'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,یو جینۍ او د هغې مور ورته څه لري؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د زیږیدو نیټه"", ""کمیس"", ""د پښو د ناخنونو شمیر"", ""د ویښتو اوږدوالی""]}"
163,The transportation with the most mass is likely a,"{'text': array(['commercial plane', 'private plane', 'bus', 'private car'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,د ترانسپورت هغه وسیله چې تر ټولو زیات وزن لري، احتمالاً څه ده؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""تجارتي الوتکه"", ""شخصي الوتکه"", ""بس"", ""شخصي موټر""]}"
7-49,A rabbit may enjoy,"{'text': array(['meat', 'compost', 'peas', 'pebbles'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,یو خرگوش ممکن څه خوند واخلي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""غوشت"", ""کمپوست"", ""مټر"", ""کوچني ډبرې""]}"
8-393,"A construction group wants to put a shopping center in town, but the only place available is a small nature park with a trail. Deer and other wildlife frequent the park, since it is the only place in the city where trees and fresh water are available for them. The construction group decides to build the shopping center, which means that","{'text': array(['the deer are moved to a zoo', 'the trail is expanded',
       'the mall has a nature park in it',
       'the wildlife environment is destroyed'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,یو ساختماني ډله غواړي چې په ښار کې د سوداګرۍ مرکز جوړ کړي، مګر یوازینی موجود ځای یوه کوچنۍ طبیعي پارک دی چې یوه لاره لري. د پارک ته د غزالو او نورو وحشي حیواناتو تلل معمول دي، ځکه چې دا په ښار کې یوازینی ځای دی چیرې چې د دوی لپاره ونې او تازه اوبه شتون لري. ساختماني ډله پریکړه کوي چې سوداګرۍ مرکز جوړ کړي، چې معنی لري,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""غزالې باغ ته لیږدول کیږي"", ""لاره پراخه کیږي"", ""مال د طبیعي پارک سره لري"", ""د وحشي چاپیریال له منځه ځي""]}"
788,Owls are likely to hunt at,"{'text': array(['3pm', '2am', '6pm', '7am'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,د جغدونو د ښکار احتمالاً کوم وخت دی؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د ماسپښین ۳ بجې"", ""د شپې ۲ بجې"", ""د ماسپښین ۶ بجې"", ""د سهار ۷ بجې""]}"
